Date,Dose1,Dose2
2021-05-13,829554.4623952657,1083075.6139670368
2021-05-14,808100.9136844192,1069307.6824006273
2021-05-15,786800.9960530604,1055234.0282256652
2021-05-16,765672.0845945701,1040871.4082411258
2021-05-17,744730.8342255041,1026236.7470567625
2021-05-18,723993.1655321455,1011347.1041954173
2021-05-19,703474.2528459305,996219.6413454097
2021-05-20,683188.5145227545,980871.5898497171
2021-05-21,663149.6053941069,965320.2185166668
2021-05-22,643370.411351244,949582.8018345977
2021-05-23,623863.0460172208,933676.5886704201
2021-05-24,604638.8494555857,917618.7715292253
2021-05-25,585708.3888588886,901426.4564490757
2021-05-26,548767.0974637682,868706.1486678647
2021-05-27,530773.5693343125,852211.6750473527
2021-05-28,513108.39668488177,835649.6869701556
2021-05-29,495778.3573691105,819036.4335584702
2021-05-30,478789.49828499526,802387.9138954944
2021-05-31,462147.1479423979,785719.8531476095
2021-06-01,445855.9304019884,769047.6797837674
2021-06-02,429919.78049676394,752386.5039313738
2021-06-03,414341.96024586045,735751.0969035705
2021-06-04,399125.0763693461,719155.8719283902
2021-06-05,384271.0988120792,702614.8661058185
2021-06-06,369781.3801844794,686141.723614358
2021-06-07,355656.676028219,669749.6801842664
2021-06-08,341897.1658153455,653451.5488502674
2021-06-09,328502.47459021665,637259.7069921957
2021-06-10,315471.69516480935,621186.0846677936
2021-06-11,302803.410779473,605242.1542376977
2021-06-12,290495.7181429888,589438.9212785929
2021-06-13,278546.2507678664,573786.9167765528
2021-06-14,266952.2025191339,558296.1905887695
2021-06-15,255710.35129742965,542976.3061581814
2021-06-16,244817.082779974,527836.3364619841
2021-06-17,234268.4141459612,512884.8611716378
2021-06-18,224060.01771603353,498129.9649987822
2021-06-19,214187.2444387867,483579.2371984573
2021-06-20,204645.14716065524,469239.7721981906
2021-06-21,195428.50361903987,455118.17131887714
2021-06-22,186531.8391021428,441220.5455509345
2021-06-23,177949.44872263816,427552.51934697904
2021-06-24,169675.41925602016,414119.2353902341
2021-06-25,161703.65049821622,400925.3602960577
2021-06-26,154027.87610080012,387975.09120235866
2021-06-27,146641.68384589162,375272.16320326185
2021-06-28,139538.53532654713,362819.85757918353
2021-06-29,132711.78500213326,350621.01077548065
2021-06-30,126154.69860180322,338678.02408105164
2021-07-01,119860.47085276208,326992.8739576686
2021-07-02,113822.24251348738,315567.1229704321
2021-07-03,108033.1166954651,304401.9312695307
2021-07-04,102486.17446029208,293498.06857347063
2021-07-05,97174.48968217075,282855.926604101
2021-07-06,92091.14316888263,272475.5319240898
2021-07-07,87229.23603725384,262356.55912800494
2021-07-08,82581.9023419239,252498.34433880894
2021-07-09,78142.3209588803,242899.8989623736
2021-07-10,73903.72672773506,233559.923653569
2021-07-11,69859.42085907889,224476.82244855
2021-07-12,66002.78061546086,215648.71701906074
2021-07-13,62327.268276599636,207073.46100588405
2021-07-14,58826.439401337164,198748.6543899729
2021-07-15,55493.95040059516,190671.6578613047
2021-07-16,52323.5654371955,182839.60714708688
2021-07-17,49309.16266984849,175249.42726260077
2021-07-18,46444.739859911104,167897.84664969877
2021-07-19,43724.41936066613,160781.411169747
2021-07-20,41142.452509878516,153896.49791963186
2021-07-21,38693.22344725048,147239.32884131116
2021-07-22,36371.2523791271,140805.98409727507
2021-07-23,34171.198313401925,134592.41518619537
2021-07-24,32087.86128804514,128594.45777495032
2021-07-25,30116.184117028275,122807.84422513981
2021-07-26,28251.253677656463,117228.21579410983
2021-07-27,26488.30176344591,111851.13449241314
2021-07-28,24822.70552671028,106672.09458150604
2021-07-29,23249.98753494517,101686.53369733592
2021-07-30,21765.815464938787,96889.84358729635
2021-07-31,20366.001458287385,92277.38044980043
2021-08-01,19046.501161671164,87844.47486746791
2021-08-02,17803.412474847464,83586.44132660002
2021-08-03,16632.974028857192,79498.58731725762
2021-08-04,15531.563416419302,75576.22200982778
2021-08-05,14495.695195913917,71814.6645054839
2021-08-06,13522.018689734328,68209.25165939289
2021-08-07,12607.315597126006,64755.345476906135
2021-08-08,11748.4974409335,61448.340084289564
2021-08-09,10942.602866949117,58283.66827678709
2021-08-10,10186.794813804801,55256.80764798816
2021-08-11,9478.357570577391,52363.28630556414
2021-08-12,8814.693738490088,49598.68817946586
2021-08-13,8193.321112296217,46958.657929622335
2021-08-14,7611.869496127456,44438.90546105643
2021-08-15,7068.077467783169,42035.21005513648
2021-08-16,6559.789104632952,39743.42412640892
2021-08-17,6084.950683505263,37559.47661511561
2021-08-18,5641.6073661436485,35479.37602608228
2021-08-19,5227.899881031742,33499.21312518308
2021-08-20,4842.0612116216535,31615.163305030885
2021-08-21,4482.413300249859,29823.488631928183
2021-08-22,4147.363776292343,28120.539586429735
2021-08-23,3835.4027163986498,26502.75651012515
2021-08-24,3545.099443953935,24966.6707714488
2021-08-25,3275.099374251265,23508.90566346368
2021-08-26,3024.120911213328,22126.17704665531
2021-08-27,2790.9524008856965,20815.293749806147
2021-08-28,2574.4491463325953,19573.157742010815
2021-08-29,2373.5304880019876,18396.76408883374
2021-08-30,2187.1769530899173,17283.200705511103
2021-08-31,2014.4274769246385,16229.647919959769
2021-09-01,1854.3766989094688,15233.377858178865
2021-09-02,1706.1723351092353,14291.75366441992
2021-09-03,1569.0126291386289,13402.228568259843
2021-09-04,1442.143882611481,12562.344810442188
2021-09-05,1324.8580660373236,11769.73243905685
2021-09-06,1216.4905107054317,11022.107987311712
2021-09-07,1116.4176817759276,10317.273043812194
2021-09-08,1024.055032502054,9653.112725909787
2021-09-09,938.8549392365824,9027.59406631198
2021-09-10,860.3047166276162,8438.764322763232
2021-09-11,787.9247121841522,7884.7492202151825
2021-09-12,721.2664791885713,7363.7511345038065
2021-09-13,659.9110267509974,6874.047226145805
2021-09-14,603.467145638116,6413.9875324564955
2021-09-15,551.5698083657486,5981.993025779659
2021-09-16,503.8786419191385,5576.55364520835
2021-09-17,460.07647135662967,5196.22630876451
2021-09-18,419.86793246022205,4839.632912598269
2021-09-19,382.9781515193015,4505.458323364097
2021-09-20,349.1514902709024,4192.448369533881
2021-09-21,318.15035396994926,3899.407837015941
